"Language","Angle","Mode","Setting","Seed"
"Basque","93.99954","Baseline","bpe-mr","1"
"English","101.76179","Baseline","bpe-mr","1"
"Finnish","103.36392","Baseline","bpe-mr","1"
"French","107.77028","Baseline","bpe-mr","1"
"German","103.2282","Baseline","bpe-mr","1"
"Greek","86.20011","Baseline","bpe-mr","1"
"Hebrew","104.66776","Baseline","bpe-mr","1"
"Hindi","100.3179","Baseline","bpe-mr","1"
"Indonesian","75.53881","Baseline","bpe-mr","1"
"Japanese","102.15041","Baseline","bpe-mr","1"
"Korean","69.84228","Baseline","bpe-mr","1"
"Mandarin","95.76862","Baseline","bpe-mr","1"
"Persian","101.99928","Baseline","bpe-mr","1"
"Russian","109.71561","Baseline","bpe-mr","1"
"Spanish","91.1225","Baseline","bpe-mr","1"
"Tagalog","83.84085","Baseline","bpe-mr","1"
"Thai","90.7686","Baseline","bpe-mr","1"
"Turkish","76.03803","Baseline","bpe-mr","1"
"Vietnamese","82.97522","Baseline","bpe-mr","1"
"Basque","76.99792","Baseline","bpe04V","1"
"English","65.55913","Baseline","bpe04V","1"
"Finnish","62.85085","Baseline","bpe04V","1"
"French","80.21308","Baseline","bpe04V","1"
"German","88.99221","Baseline","bpe04V","1"
"Greek","64.19229","Baseline","bpe04V","1"
"Hebrew","89.92169","Baseline","bpe04V","1"
"Hindi","64.40972","Baseline","bpe04V","1"
"Indonesian","62.84999","Baseline","bpe04V","1"
"Japanese","118.89499","Baseline","bpe04V","1"
"Korean","82.47271","Baseline","bpe04V","1"
"Mandarin","85.37961","Baseline","bpe04V","1"
"Persian","101.14144","Baseline","bpe04V","1"
"Russian","81.34131","Baseline","bpe04V","1"
"Spanish","80.71366","Baseline","bpe04V","1"
"Tagalog","88.91324","Baseline","bpe04V","1"
"Thai","89.07784","Baseline","bpe04V","1"
"Turkish","66.22314","Baseline","bpe04V","1"
"Vietnamese","76.71603","Baseline","bpe04V","1"
"Basque","59.35232","Baseline","morf","1"
"English","73.12282","Baseline","morf","1"
"Finnish","64.07317","Baseline","morf","1"
"French","52.49569","Baseline","morf","1"
"German","54.22249","Baseline","morf","1"
"Greek","87.31208","Baseline","morf","1"
"Hebrew","94.53047","Baseline","morf","1"
"Hindi","81.15981","Baseline","morf","1"
"Indonesian","72.11889","Baseline","morf","1"
"Japanese","97.99508","Baseline","morf","1"
"Korean","83.25634","Baseline","morf","1"
"Mandarin","103.14171","Baseline","morf","1"
"Persian","88.30654","Baseline","morf","1"
"Russian","77.71628","Baseline","morf","1"
"Spanish","57.97422","Baseline","morf","1"
"Tagalog","76.57915","Baseline","morf","1"
"Thai","63.1532","Baseline","morf","1"
"Turkish","57.75022","Baseline","morf","1"
"Vietnamese","75.54502","Baseline","morf","1"
"Basque","87.94277","Baseline","spm","1"
"English","88.95887","Baseline","spm","1"
"Finnish","65.06627","Baseline","spm","1"
"French","64.513","Baseline","spm","1"
"German","58.09204","Baseline","spm","1"
"Greek","76.97967","Baseline","spm","1"
"Hebrew","85.39282","Baseline","spm","1"
"Hindi","82.49538","Baseline","spm","1"
"Indonesian","72.25033","Baseline","spm","1"
"Japanese","122.54344","Baseline","spm","1"
"Korean","76.65628","Baseline","spm","1"
"Mandarin","125.75879","Baseline","spm","1"
"Persian","78.0847","Baseline","spm","1"
"Russian","74.97872","Baseline","spm","1"
"Spanish","61.11235","Baseline","spm","1"
"Tagalog","72.69546","Baseline","spm","1"
"Thai","87.47836","Baseline","spm","1"
"Turkish","74.43449","Baseline","spm","1"
"Vietnamese","76.58719","Baseline","spm","1"
"Basque","85.20973","Baseline","wordpiece","1"
"English","89.41411","Baseline","wordpiece","1"
"Finnish","84.18605","Baseline","wordpiece","1"
"French","97.67682","Baseline","wordpiece","1"
"German","85.4444","Baseline","wordpiece","1"
"Greek","83.41208","Baseline","wordpiece","1"
"Hebrew","99.71954","Baseline","wordpiece","1"
"Hindi","109.13017","Baseline","wordpiece","1"
"Indonesian","83.95101","Baseline","wordpiece","1"
"Japanese","116.49124","Baseline","wordpiece","1"
"Korean","80.78878","Baseline","wordpiece","1"
"Mandarin","122.64816","Baseline","wordpiece","1"
"Persian","97.40912","Baseline","wordpiece","1"
"Russian","100.93354","Baseline","wordpiece","1"
"Spanish","76.67808","Baseline","wordpiece","1"
"Tagalog","75.42305","Baseline","wordpiece","1"
"Thai","95.61929","Baseline","wordpiece","1"
"Turkish","82.15107","Baseline","wordpiece","1"
"Vietnamese","91.06822","Baseline","wordpiece","1"
"Basque","91.13085","Baseline","bpe-mr","2"
"English","104.40369","Baseline","bpe-mr","2"
"Finnish","103.8429","Baseline","bpe-mr","2"
"French","99.52647","Baseline","bpe-mr","2"
"German","104.46491","Baseline","bpe-mr","2"
"Greek","84.139","Baseline","bpe-mr","2"
"Hebrew","70.37257","Baseline","bpe-mr","2"
"Hindi","99.19084","Baseline","bpe-mr","2"
"Indonesian","84.32079","Baseline","bpe-mr","2"
"Japanese","100.39749","Baseline","bpe-mr","2"
"Korean","84.52409","Baseline","bpe-mr","2"
"Mandarin","75.9076","Baseline","bpe-mr","2"
"Persian","100.02736","Baseline","bpe-mr","2"
"Russian","109.73666","Baseline","bpe-mr","2"
"Spanish","93.44769","Baseline","bpe-mr","2"
"Tagalog","85.73337","Baseline","bpe-mr","2"
"Thai","68.26849","Baseline","bpe-mr","2"
"Turkish","77.34221","Baseline","bpe-mr","2"
"Vietnamese","78.68504","Baseline","bpe-mr","2"
"Basque","84.36336","Baseline","bpe04V","2"
"English","68.16599","Baseline","bpe04V","2"
"Finnish","68.12687","Baseline","bpe04V","2"
"French","65.52921","Baseline","bpe04V","2"
"German","77.56144","Baseline","bpe04V","2"
"Greek","78.33809","Baseline","bpe04V","2"
"Hebrew","76.15731","Baseline","bpe04V","2"
"Hindi","86.85079","Baseline","bpe04V","2"
"Indonesian","72.74655","Baseline","bpe04V","2"
"Japanese","120.25657","Baseline","bpe04V","2"
"Korean","82.05821","Baseline","bpe04V","2"
"Mandarin","85.81198","Baseline","bpe04V","2"
"Persian","100.23385","Baseline","bpe04V","2"
"Russian","80.72323","Baseline","bpe04V","2"
"Spanish","59.61252","Baseline","bpe04V","2"
"Tagalog","70.35378","Baseline","bpe04V","2"
"Thai","88.80468","Baseline","bpe04V","2"
"Turkish","67.52137","Baseline","bpe04V","2"
"Vietnamese","75.37619","Baseline","bpe04V","2"
"Basque","96.02177","Baseline","morf","2"
"English","65.25541","Baseline","morf","2"
"Finnish","64.33317","Baseline","morf","2"
"French","67.77075","Baseline","morf","2"
"German","74.49675","Baseline","morf","2"
"Greek","56.37149","Baseline","morf","2"
"Hebrew","75.49549","Baseline","morf","2"
"Hindi","87.19622","Baseline","morf","2"
"Indonesian","83.54026","Baseline","morf","2"
"Japanese","111.30015","Baseline","morf","2"
"Korean","80.29395","Baseline","morf","2"
"Mandarin","82.64727","Baseline","morf","2"
"Persian","62.57633","Baseline","morf","2"
"Russian","63.35639","Baseline","morf","2"
"Spanish","71.19484","Baseline","morf","2"
"Tagalog","80.49112","Baseline","morf","2"
"Thai","64.63231","Baseline","morf","2"
"Turkish","64.76507","Baseline","morf","2"
"Vietnamese","90.32799","Baseline","morf","2"
"Basque","66.94151","Baseline","spm","2"
"English","72.47907","Baseline","spm","2"
"Finnish","68.52533","Baseline","spm","2"
"French","99.6696","Baseline","spm","2"
"German","94.82482","Baseline","spm","2"
"Greek","66.2092","Baseline","spm","2"
"Hebrew","71.80916","Baseline","spm","2"
"Hindi","97.39246","Baseline","spm","2"
"Indonesian","65.61994","Baseline","spm","2"
"Japanese","115.20207","Baseline","spm","2"
"Korean","78.4171","Baseline","spm","2"
"Mandarin","122.49901","Baseline","spm","2"
"Persian","90.96062","Baseline","spm","2"
"Russian","82.55921","Baseline","spm","2"
"Spanish","65.74961","Baseline","spm","2"
"Tagalog","71.72666","Baseline","spm","2"
"Thai","69.84849","Baseline","spm","2"
"Turkish","68.23658","Baseline","spm","2"
"Vietnamese","100.94336","Baseline","spm","2"
"Basque","81.96431","Baseline","wordpiece","2"
"English","92.5377","Baseline","wordpiece","2"
"Finnish","82.08008","Baseline","wordpiece","2"
"French","101.65776","Baseline","wordpiece","2"
"German","83.78125","Baseline","wordpiece","2"
"Greek","75.14009","Baseline","wordpiece","2"
"Hebrew","104.13828","Baseline","wordpiece","2"
"Hindi","99.10306","Baseline","wordpiece","2"
"Indonesian","88.93025","Baseline","wordpiece","2"
"Japanese","104.8042","Baseline","wordpiece","2"
"Korean","82.97665","Baseline","wordpiece","2"
"Mandarin","79.95322","Baseline","wordpiece","2"
"Persian","115.70619","Baseline","wordpiece","2"
"Russian","92.80982","Baseline","wordpiece","2"
"Spanish","83.54545","Baseline","wordpiece","2"
"Tagalog","78.74465","Baseline","wordpiece","2"
"Thai","89.85896","Baseline","wordpiece","2"
"Turkish","75.45447","Baseline","wordpiece","2"
"Vietnamese","95.9547","Baseline","wordpiece","2"
"Basque","93.01918","Baseline","bpe-mr","3"
"English","105.00436","Baseline","bpe-mr","3"
"Finnish","103.4582","Baseline","bpe-mr","3"
"French","100.47563","Baseline","bpe-mr","3"
